SERCODIGO,Date,Value,NIVNOME,TERCODIGO
PAN4_PIBPMG4,2014-04-01 03:00:00+00:00,-0.435273061053432,,
PAN4_PIBPMG4,2014-07-01 03:00:00+00:00,-0.638793555229922,,
PAN4_PIBPMG4,2014-10-01 03:00:00+00:00,-0.22849945847202,,
PAN4_PIBPMG4,2015-01-01 02:00:00+00:00,-1.61940842287117,,
PAN4_PIBPMG4,2015-04-01 03:00:00+00:00,-2.74037244301559,,
PAN4_PIBPMG4,2015-07-01 03:00:00+00:00,-4.26284141424435,,
PAN4_PIBPMG4,2015-10-01 03:00:00+00:00,-5.51957118580132,,
PAN4_PIBPMG4,2016-01-01 02:00:00+00:00,-5.13823721505994,,
PAN4_PIBPMG4,2016-04-01 03:00:00+00:00,-3.21850037936723,,
PAN4_PIBPMG4,2016-07-01 03:00:00+00:00,-2.45418946837135,,
PAN4_PIBPMG4,2016-10-01 03:00:00+00:00,-2.2611484665136,,
PAN4_PIBPMG4,2017-01-01 02:00:00+00:00,0.281996439605026,,
PAN4_PIBPMG4,2017-04-01 03:00:00+00:00,0.787469477176184,,
PAN4_PIBPMG4,2017-07-01 03:00:00+00:00,1.64070589666243,,
PAN4_PIBPMG4,2017-10-01 03:00:00+00:00,2.57623907949613,,
PAN4_PIBPMG4,2018-01-01 02:00:00+00:00,1.904977247924,,
PAN4_PIBPMG4,2018-04-01 03:00:00+00:00,1.61710144812446,,
PAN4_PIBPMG4,2018-07-01 03:00:00+00:00,2.05680302663294,,
PAN4_PIBPMG4,2018-10-01 03:00:00+00:00,1.55457175686098,,
PAN4_PIBPMG4,2019-01-01 02:00:00+00:00,0.901322299480456,,
PAN4_PIBPMG4,2019-04-01 03:00:00+00:00,1.17254436740961,,
PAN4_PIBPMG4,2019-07-01 03:00:00+00:00,1.10955413670353,,
PAN4_PIBPMG4,2019-10-01 03:00:00+00:00,1.69388121663183,,
PAN4_PIBPMG4,2020-01-01 03:00:00+00:00,0.413975139835032,,
PAN4_PIBPMG4,2020-04-01 03:00:00+00:00,-10.1377051613335,,
PAN4_PIBPMG4,2020-07-01 03:00:00+00:00,-3.03568610523691,,
PAN4_PIBPMG4,2020-10-01 03:00:00+00:00,-0.333896847303372,,
PAN4_PIBPMG4,2021-01-01 03:00:00+00:00,1.74978284550418,,
PAN4_PIBPMG4,2021-04-01 03:00:00+00:00,12.3965467476247,,
PAN4_PIBPMG4,2021-07-01 03:00:00+00:00,4.21295729521489,,
PAN4_PIBPMG4,2021-10-01 03:00:00+00:00,1.4585946335693,,
PAN4_PIBPMG4,2022-01-01 03:00:00+00:00,1.47337851161742,,
PAN4_PIBPMG4,2022-04-01 03:00:00+00:00,3.54385345448904,,
PAN4_PIBPMG4,2022-07-01 03:00:00+00:00,4.32181324284986,,
PAN4_PIBPMG4,2022-10-01 03:00:00+00:00,2.69391601960385,,
PAN4_PIBPMG4,2023-01-01 03:00:00+00:00,4.22118742181907,,
PAN4_PIBPMG4,2023-04-01 03:00:00+00:00,3.46806779107638,,
PAN4_PIBPMG4,2023-07-01 03:00:00+00:00,1.95972718653488,,
PAN4_PIBPMG4,2023-10-01 03:00:00+00:00,2.05317290642588,,
PAN4_PIBPMG4,2024-01-01 03:00:00+00:00,2.45602046960558,,
PAN4_PIBPMG4,2024-04-01 03:00:00+00:00,3.33518190098716,,
