,valor_ibovespa,valor_cambio,valor_ipca,valor_pib
valor_ibovespa,1.0,-0.7532395046782391,-0.1498397234403662,-0.016825093451773743
valor_cambio,-0.7532395046782391,1.0,0.17924308611652562,0.047468598143631364
valor_ipca,-0.1498397234403662,0.17924308611652562,1.0,0.0459809444487611
valor_pib,-0.016825093451773743,0.047468598143631364,0.0459809444487611,1.0
